URLs,Reservations Open,Fully Booked,Available Hotels,Error Message
https://book.passkey.com/go/ARMA2024,Yes,Yes,,
https://book.passkey.com/event/50809519/owner/49087279/home,Yes,No,1,
https://book.passkey.com/event/50809519/owner/49087279/home,Yes,No,1,
https://book.passkey.com/go/SPLA5R,Yes,No,1,
https://book.passkey.com/gt/219507851?gtid=89d923e91e7141144eea2f52486fc92a,Yes,Yes,,
https://book.passkey.com/gt/219147488?gtid=d22cb18bc460c32d3d572a851ba9428a,No,,,
https://book.passkey.com/event/50784063/owner/49856699/home,Yes,No,3,
https://book.passkey.com/go/PCIPowderCoating2025,Yes,No,1,
https://book.passkey.com/go/PCIPowderCoating2025,Yes,No,1,
https://book.passkey.com/go/PCIPowderCoating2025,Yes,No,1,
https://book.passkey.com/event/50775814/owner/50320471/home?&mode=find-res,Yes,No,0,
https://book.passkey.com/event/50775814/owner/50320471/home?&mode=find-res,Yes,No,0,
https://book.passkey.com/go/NCPA2024,Yes,Yes,,
https://book.passkey.com/go/NCPA2024,Yes,Yes,,
https://book.passkey.com/go/NCPA2024,Yes,Yes,,
https://book.passkey.com/go/NCPA2024,Yes,Yes,,
https://book.passkey.com/go/NCPA2024,Yes,Yes,,
https://book.passkey.com/go/SPECSShow2025,No,,,
https://book.passkey.com/e/50681405,Yes,No,1,
https://book.passkey.com/e/50681405,Yes,No,1,
https://book.passkey.com/event/50726019/owner/5142/home,No,,,
https://book.passkey.com/gt/219822792?gtid=24f6b4952c13b87ac77436377f51a0d0,Yes,No,1,
https://book.passkey.com/e/50654332,Yes,No,1,
https://book.passkey.com/go/SHOTSHOW2025,Yes,No,1,
https://book.passkey.com/e/50068573,No,,,
https://book.passkey.com/go/ResourceRecyclingConference24,Yes,No,1,
https://book.passkey.com/go/AAOMSDental2024,Yes,No,1,
https://book.passkey.com/go/MANTS2025,Yes,No,8,
https://book.passkey.com/go/MANTS2025,Yes,No,8,
https://book.passkey.com/go/MANTS2025,Yes,No,8,
https://book.passkey.com/go/MANTS2025,Yes,No,8,
https://book.passkey.com/event/50789959/owner/12556/home,Yes,No,1,
https://book.passkey.com/e/50347969,No,,,
https://book.passkey.com/event/50871396/owner/49859891/home,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50565666/owner/241/rooms/list?sort=default,No,,,
https://book.passkey.com/event/50840145/owner/290/home,Yes,No,8,
https://book.passkey.com/e/50848201,Yes,No,1,
https://book.passkey.com/go/Manifest2025,Yes,No,1,
https://book.passkey.com/go/CABDA2025,Yes,No,1,
https://book.passkey.com/event/50617493/owner/760/home,Yes,No,1,
https://book.passkey.com/e/50811335,Yes,No,1,
https://book.passkey.com/event/50652915/owner/1322/landing,No,,,
https://book.passkey.com/event/50841606/owner/68648/home,Yes,No,1,
https://book.passkey.com/gt/220243847?gtid=aeb0af3aab530f997e0f50cfafa0f31,Yes,No,1,
https://book.passkey.com/event/50895732/owner/14234852/home,Yes,No,1,
https://book.passkey.com/event/50792429/owner/817279/home,Yes,Yes,,
https://book.passkey.com/event/50671114/owner/3623455/home,Yes,No,1,
https://book.passkey.com/event/50671114/owner/3623455/home,Yes,No,1,
https://book.passkey.com/e/50717860,No,,,
https://book.passkey.com/gt/220227156?gtid=ef24f93efebffdd53040c266c3497eb3,Yes,No,1,
https://book.passkey.com/e/50717860,No,,,
https://book.passkey.com/e/50717860,No,,,
https://book.passkey.com/event/50831589/owner/863/home,Yes,No,1,
https://book.passkey.com/event/50831589/owner/863/home,Yes,No,1,
https://book.passkey.com/e/50848303,Yes,No,1,
https://book.passkey.com/go/NMSDCATL24,Yes,No,7,
https://book.passkey.com/go/NMSDCATL24,Yes,No,7,
https://book.passkey.com/gt/lodging/219711825?gtid=721933c502576a84ffc223779db3bba0,Error,Error,Error,
https://book.passkey.com/go/SH10FC4,Yes,No,1,
https://book.passkey.com/event/50707156/owner/52950/home,No,,,
https://book.passkey.com/go/GRAPHICSPROEXPO24,No,,,
https://book.passkey.com/event/50539964/owner/27662/home,No,,,
https://book.passkey.com/event/50850141/owner/1449346/home,Yes,No,1,
https://book.passkey.com/e/50890320,Yes,No,1,
https://book.passkey.com/go/VivaFresh,No,,,
https://book.passkey.com/go/CleanFuelsConference,Yes,No,1,
https://book.passkey.com/gt/220106003?gtid=224d24d36d0b39c437766cb9a27ab8bb,Yes,No,1,
https://book.passkey.com/e/50881062,Yes,No,1,
https://book.passkey.com/event/50796280/owner/15592996/home,Yes,No,1,
https://book.passkey.com/go/CreativationbyNAMTA,Yes,No,1,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/go/st06ps3,No,,,
https://book.passkey.com/gt/219708785?gtid=647323b9368b4e6c28de31bcf12229e6,Yes,No,14,
https://book.passkey.com/e/50777842,Yes,No,1,
https://book.passkey.com/e/50791802,No,,,
https://book.passkey.com/event/50825838/owner/3623455/home,Yes,No,1,
